;Identificador do acidente;Identificador do condutor;Estado;Identificador do veículo;Tipo de veículo;Marca do veículo;Envolvido;Estado físico do condutor;Idade;Gênero
789;572104;1270439;SP;1018829;Automóvel;FORD/KA SE 1.0 HA C;Condutor;Lesões Leves;28;Masculino
793;572107;1269843;SP;1018760;Motocicleta;HONDA/CG 160 TITAN S;Condutor;Lesões Graves;24;Masculino
794;572107;1269841;SP;1018759;Motocicleta;HONDA/CG 150 TITAN KS;Condutor;Lesões Graves;19;Masculino
807;572112;1269858;SP;1018773;Automóvel;FIAT/ARGO DRIVE 1.0;Condutor;Lesões Leves;72;Masculino
808;572112;1269860;SP;1018776;Caminhonete;I/TOYOTA HILUX CD4X4 SRV;Condutor;Ileso;68;Masculino
888;572143;1269930;SP;1018822;Automóvel;HONDA/FIT PERSONAL;Condutor;Ileso;47;Masculino
889;572143;1269931;SP;1018823;Camioneta;I/HYUNDAI IX35 2.0;Condutor;Ileso;49;Masculino
890;572143;1269932;SP;1018824;Automóvel;HONDA/FIT EXL FLEX;Condutor;Ileso;61;Masculino
892;572143;1269978;SP;1018825;Caminhonete;RENAULT/OROCH OUTSIDE13C;Condutor;Ileso;67;Masculino
893;572143;1269929;SP;1018820;Automóvel;Não Informado;Condutor;Não Informado;41;Não Informado
966;572179;1270268;SP;1019034;Camioneta;JEEP/RENEGADE LGTD T270;Condutor;Ileso;40;Feminino
969;572179;1270269;SP;1019035;Motocicleta;HONDA/CG 160 TITAN;Condutor;Lesões Leves;23;Feminino
1116;572232;1271271;SP;1019700;Ônibus;M.BENZ/MPOLO TORINO U;Condutor;Ileso;38;Masculino
1155;572246;1272031;SP;1020250;Automóvel;FORD/KA SE 1.5 SD B;Condutor;Ileso;63;Masculino
1156;572246;1272032;SP;1020251;Motocicleta;HONDA/CG 160 TITAN;Condutor;Lesões Leves;22;Masculino
1206;572266;1270302;SP;1019063;Caminhão-trator;SCANIA/R124 GA4X2NZ 360;Condutor;Lesões Leves;26;Masculino
1207;572267;1270309;SP;1019066;Automóvel;VW/GOL MI;Condutor;Lesões Leves;30;Masculino
1210;572269;1271052;SP;1019560;Automóvel;GM/KADETT GLS;Condutor;Ileso;46;Masculino
1214;572271;1270368;SP;1019106;Caminhão;IVECO/DAILY AUTOMAR AMB;Condutor;Lesões Leves;53;Masculino
1217;572271;1270366;SP;1019104;Caminhão-trator;VW/19.360 CTC 4X2;Condutor;Ileso;31;Masculino
1274;572297;1270477;SP;1019182;Motocicleta;HONDA/CG 150 TITAN EX;Condutor;Lesões Leves;45;Masculino
1276;572297;1270478;SP;1019183;Automóvel;GM/VECTRA SD EXPRESSION;Condutor;Ileso;22;Masculino
1301;572306;1270418;SP;1019151;Motocicleta;HONDA/CG 160 START;Condutor;Lesões Leves;30;Masculino
1378;572347;1270625;SP;1019287;Automóvel;TOYOTA/ETIOS HB XS 15 AT;Condutor;Lesões Leves;67;Masculino
1380;572347;1270627;SP;1019288;Caminhão-trator;SCANIA/R114GA4X2NZ 380;Condutor;Ileso;46;Masculino
1486;572395;1270632;SP;1019297;Caminhão;M.BENZ/710;Condutor;Ileso;53;Masculino
1487;572395;1270631;SP;1019296;Automóvel;FORD/KA SE 1.0 HA;Condutor;Lesões Leves;31;Feminino
1491;572399;1270654;SP;1019309;Caminhão;VOLVO/VM 260 6X2R;Condutor;Lesões Graves;42;Masculino
1492;572399;1270653;SP;1019308;Caminhão-trator;SCANIA/R450 A6X2;Condutor;Ileso;49;Masculino
1548;572424;1270746;SP;1019368;Automóvel;IMP/FIAT TIPO 1.6 IE;Condutor;Ileso;36;Masculino
1549;572424;1270742;SP;1019366;Automóvel;GM/CORSA HATCH MAXX;Condutor;Ileso;48;Masculino
1599;572445;1270981;SP;1019521;Motoneta;HONDA/BIZ 125 ES;Condutor;Lesões Graves;41;Feminino
1630;572467;1270799;SP;1019403;Caminhão-trator;MAN/TGX 28.440 6X2 T;Condutor;Ileso;32;Masculino
1632;572467;1270830;SP;1019402;Automóvel;GM/VECTRA SEDAN ELEGANCE;Condutor;Ileso;47;Masculino
1693;572494;1272544;SP;1020600;Automóvel;FIAT/UNO MILLE FIRE;Condutor;Lesões Leves;54;Masculino
1713;572503;1270933;SP;1019485;Caminhão-trator;MAN/TGX 28.440 6X2 T;Condutor;Lesões Leves;34;Masculino
1787;572537;1271488;SP;1019874;Micro-ônibus;FIAT/DUCATO MINIBUS;Condutor;Lesões Leves;36;Feminino
1798;572544;1271044;SP;1019558;Caminhão;VOLVO/VM 220 4X2R;Condutor;Ileso;31;Masculino
1826;572559;1271068;SP;1019573;Automóvel;GM/CORSA SUPER;Condutor;Ileso;28;Masculino
1853;572571;1273622;SP;1019616;Automóvel;Não Informado;Condutor;Não Informado;41;Não Informado
1854;572571;1271132;SP;1019608;Automóvel;VW/VIRTUS CL AD;Condutor;Lesões Leves;55;Masculino
1875;572578;1271206;SP;1019655;Motocicleta;HONDA/CG 160 START;Condutor;Lesões Leves;22;Masculino
1876;572579;1271145;SP;1019617;Automóvel;CITROEN/C4CACTUS FEEL AT;Condutor;Ileso;41;Masculino
1877;572579;1271146;SP;1019619;Motocicleta;YAMAHA/MT07 ABS;Condutor;Lesões Graves;38;Masculino
1899;572595;1271227;SP;1019671;Automóvel;VW/POLO SEDAN 1.6;Condutor;Ileso;32;Masculino
1901;572595;1271221;SP;1019668;Automóvel;I/VW SPACEFOX SPORT.GII;Condutor;Ileso;26;Masculino
1902;572595;1271220;SP;1019667;Automóvel;CITROEN/C3 FEEL PK AT;Condutor;Ileso;49;Feminino
1903;572595;1271223;SP;1019669;Automóvel;PEUGEOT/208 ACT PACK MT;Condutor;Ileso;34;Masculino
1964;572623;1271295;SP;1019714;Automóvel;GM/ASTRA GLS;Condutor;Ileso;66;Masculino
1965;572623;1271296;SP;1019716;Motocicleta;HONDA/NXR150 BROS ESD;Condutor;Lesões Leves;42;Masculino
1970;572627;1271325;SP;1019742;Motoneta;HONDA/PCX 150;Condutor;Ileso;26;Masculino
2013;572641;1271323;SP;1019736;Caminhão-trator;DAF/XF105 FTT 510A;Condutor;Ileso;50;Masculino
2014;572641;1271324;SP;1019739;Caminhão-trator;SCANIA/R 440 A6X2;Condutor;Ileso;50;Masculino
2015;572642;1271322;SP;1019737;Automóvel;RENAULT/SANDERO EXP1016V;Condutor;Ileso;38;Masculino
2052;572658;1271446;SP;1019841;Automóvel;GM/ASTRA GL;Condutor;Ileso;53;Masculino
2065;572664;1271434;SP;1019832;Caminhonete;RENAULT/MASTER CH CABINE;Condutor;Ileso;47;Masculino
2083;572675;1271447;SP;1019842;Utilitário;I/PORSCHE MACAN GTS;Condutor;Ileso;38;Masculino
2084;572675;1271449;SP;1019843;Automóvel;VW/GOL SPECIAL;Condutor;Ileso;34;Masculino
2085;572675;1271450;SP;1019844;Automóvel;GM/CLASSIC SUPER;Condutor;Lesões Leves;43;Feminino
2147;572713;1271558;SP;1019916;Motocicleta;HONDA/CG 160 TITAN;Condutor;Lesões Leves;44;Masculino
2275;572778;1271692;SP;1020016;Caminhão;M.BENZ/1215 C;Condutor;Ileso;42;Masculino
2276;572778;1271693;SP;1020017;Automóvel;HYUNDAI/HB20S 1.0M COMF;Condutor;Lesões Leves;32;Masculino
2277;572778;1271696;SP;1020020;Automóvel;HYUNDAI/HB20S 1.6M 1.6M;Condutor;Ileso;57;Masculino
2290;572782;1271967;SP;1020206;Motocicleta;HONDA/CB300F TWISTER CBS;Condutor;Lesões Leves;25;Masculino
2291;572782;1271966;SP;1020205;Automóvel;I/PEUGEOT 307 16 FX PR;Condutor;Ileso;38;Masculino
2374;572820;1271783;SP;1020086;Motocicleta;HONDA/CG 160 START;Condutor;Lesões Leves;29;Masculino
2434;572846;1271865;SP;1020141;Motocicleta;HONDA/CG 150 TITAN KS;Condutor;Lesões Leves;26;Masculino
2547;572894;1271992;SP;1020226;Automóvel;FIAT/MOBI LIKE;Condutor;Lesões Graves;38;Masculino
2548;572894;1271990;SP;1020227;Caminhonete;CHEVROLET/S10 HC DD4A;Condutor;Ileso;56;Masculino
2549;572894;1271991;SP;1020228;Automóvel;HONDA/CIVIC LXS FLEX;Condutor;Ileso;38;Masculino
2570;572908;1272154;SP;1020320;Caminhão;M.BENZ/L 1513;Condutor;Ileso;43;Masculino
2571;572908;1272153;SP;1020318;Caminhão-trator;M.BENZ/ACTROS 2546LS;Condutor;Ileso;35;Masculino
2638;572930;1272146;SP;1020312;Caminhonete;FIAT/TORO FREED T270 AT6;Condutor;Ileso;68;Masculino
2640;572930;1272148;SP;1020315;Caminhonete;GM/S10 COLINA D;Condutor;Ileso;56;Masculino
2684;572950;1272247;SP;1020353;Automóvel;VW/GOL 1.0;Condutor;Ileso;35;Masculino
2685;572950;1272250;SP;1020386;Motocicleta;YAMAHA/FZ25 FAZER;Condutor;Lesões Graves;21;Feminino
2692;572955;1272152;SP;1020316;Caminhão-trator;VW/25.390 CTC 6X2;Condutor;Lesões Leves;53;Masculino
2729;572969;1272305;SP;1020435;Automóvel;VW/POLO 1.6 SPORTLINE;Condutor;Ileso;62;Masculino
2731;572969;1272308;SP;1020438;Automóvel;HONDA/CIVIC LXR;Condutor;Ileso;49;Masculino
2732;572969;1272303;SP;1020432;Camioneta;JEEP/COMPASS LONG TF;Condutor;Ileso;40;Masculino
2764;572984;1272310;SP;1020439;Automóvel;CHEV/SPIN 1.8L AT LT;Condutor;Ileso;62;Feminino
2765;572984;1272311;SP;1020440;Automóvel;FIAT/UNO ATTRACTIVE 1.0;Condutor;Ileso;27;Masculino
2794;572996;1272360;SP;1020465;Automóvel;GM/PRISMA JOY;Condutor;Ileso;75;Masculino
2795;572996;1272358;SP;1020464;Motocicleta;HONDA/CG 150 TITAN ESD;Condutor;Lesões Leves;22;Masculino
2881;573039;1272483;SP;1020560;Caminhão-trator;SCANIA/G 420 A4X2;Condutor;Lesões Leves;37;Masculino
2904;573050;1272558;SP;1020611;Automóvel;CHEVROLET/COBALT 1.4 LT;Condutor;Lesões Leves;50;Feminino
2935;573066;1272706;SP;1020693;Automóvel;FIAT/ARGO DRIVE 1.0;Condutor;Ileso;25;Masculino
2936;573066;1272709;SP;1020694;Automóvel;FIAT/UNO VIVACE 1.0;Condutor;Lesões Leves;18;Masculino
2946;573072;1274344;SP;1021843;Bicicleta;Não Informado;Condutor;Lesões Leves;36;Masculino
2947;573072;1272458;SP;1020529;Motocicleta;HONDA/NXR160 BROS ESDD;Condutor;Lesões Leves;21;Masculino
2958;573076;1272462;SP;1020533;Automóvel;GM/VECTRA SEDAN ELITE;Condutor;Ileso;21;Feminino
2976;573089;1272486;SP;1020556;Ônibus;SCANIA/MPOLO PARADISO DD;Condutor;Ileso;43;Masculino
2985;573096;1272492;SP;1020568;Automóvel;VW/GOL PLUS MI;Condutor;Lesões Leves;31;Masculino
2987;573096;1274185;SP;1020570;Automóvel;Não Informado;Condutor;Não Informado;41;Não Informado
3020;573110;1272523;SP;1020589;Caminhonete;RENAULT/OROCH 20 DYN42AT;Condutor;Ileso;65;Feminino
3055;573125;1272575;SP;1020623;Motocicleta;HONDA/CG 160 FAN;Condutor;Lesões Leves;19;Masculino
3079;573133;1272647;SP;1020658;Automóvel;FIAT/DOBLO ADV 1.8 FLEX;Condutor;Lesões Graves;35;Masculino
3151;573160;1272650;SP;1020664;Caminhão-trator;M.BENZ/ACTROS 2651S;Condutor;Lesões Leves;35;Masculino
3196;573178;1272804;SP;1020749;Automóvel;HYUNDAI/HB20 1.6A COMF;Condutor;Lesões Leves;84;Masculino
3198;573178;1272800;SP;1020747;Automóvel;GM/CORSA HATCH MAXX;Condutor;Ileso;29;Feminino
3200;573178;1272801;SP;1020748;Automóvel;HYUNDAI/HB20S 1.0M 1.0M;Condutor;Lesões Graves;40;Masculino
3250;573200;1272811;SP;1020758;Automóvel;GM/CELTA 2P LIFE;Condutor;Ileso;26;Masculino
3251;573200;1272813;SP;1020759;Automóvel;I/GM CLASSIC SPIRIT;Condutor;Ileso;41;Masculino
3252;573200;1272815;SP;1020760;Automóvel;GM/CORSA CLASSIC;Condutor;Ileso;28;Masculino
3253;573200;1272816;SP;1020761;Automóvel;CHEVROLET/ONIX 10MT JOYE;Condutor;Ileso;35;Masculino
3254;573201;1273000;SP;1020888;Automóvel;I/JAC J5;Condutor;Ileso;49;Masculino
3257;573201;1272999;SP;1020887;Automóvel;VW/POLO MF;Condutor;Ileso;64;Masculino
3289;573214;1272833;SP;1020775;Motocicleta;HONDA/CG 150 TITAN KS;Condutor;Lesões Leves;27;Masculino
3317;573227;1272918;SP;1020834;Automóvel;CHEVROLET/ONIX 10MT JOYE;Condutor;Lesões Leves;43;Masculino
3319;573227;1272917;SP;1020833;Automóvel;CHEVROLET/ONIX 10MT JOYE;Condutor;Ileso;31;Masculino
3342;573236;1272934;SP;1020848;Camioneta;I/GM CAPTIVA SPORT AWD;Condutor;Ileso;43;Masculino
3343;573236;1272932;SP;1020847;Automóvel;TOYOTA/COROLLA GLI18 CVT;Condutor;Ileso;32;Masculino
3344;573236;1272930;SP;1020846;Automóvel;I/HYUNDAI AZERA 3.3 V6;Condutor;Ileso;31;Masculino
3373;573243;1272905;SP;1020814;Automóvel;I/VW JETTA RL AF;Condutor;Ileso;57;Masculino
3375;573243;1272903;SP;1020816;Automóvel;FIAT/ARGO 1.0;Condutor;Ileso;58;Masculino
3413;573262;1274853;SP;1022181;Motocicleta;YAMAHA/YBR150 FACTOR ED;Condutor;Ileso;39;Masculino
3422;573269;1273048;SP;1020918;Motocicleta;HONDA/XRE 300;Condutor;Lesões Leves;45;Masculino
3443;573278;1273005;SP;1020892;Automóvel;VW/POLO 1.6;Condutor;Lesões Graves;48;Feminino
3444;573278;1273004;SP;1020891;Automóvel;VW/GOL 1.8 POWER;Condutor;Ileso;46;Masculino
3515;573307;1273079;SP;1020935;Micro-ônibus;VW/KOMBI LOTAÇÃO;Condutor;Ileso;36;Masculino
3520;573307;1273081;SP;1020936;Automóvel;NISSAN/LIVINA 16S;Condutor;Lesões Leves;75;Masculino
3560;573333;1273411;SP;1021157;Caminhonete;HYUNDAI/HR HDB;Condutor;Ileso;49;Masculino
3561;573333;1273412;SP;1021160;Motocicleta;YAMAHA/YBR150 FACTOR ED;Condutor;Lesões Leves;52;Masculino
3657;573374;1273358;SP;1021119;Motocicleta;HONDA/CB 300R;Condutor;Lesões Leves;28;Masculino
3669;573379;1273404;SP;1021153;Automóvel;HYUNDAI/HB20 1.0M COMFOR;Condutor;Ileso;43;Masculino
3670;573379;1273406;SP;1021156;Motocicleta;HONDA/CG 160 FAN;Condutor;Lesões Leves;39;Masculino
3671;573381;1273374;SP;1021129;Automóvel;TOYOTA/ETIOS HB XS;Condutor;Lesões Leves;39;Masculino
3675;573381;1273371;SP;1021131;Automóvel;I/FIAT CRONOS DRIVE 1.3;Condutor;Lesões Leves;57;Feminino
3730;573408;1273414;SP;1021161;Motocicleta;HONDA/CG150 FAN ESDI;Condutor;Lesões Leves;20;Masculino
3734;573410;1273441;SP;1021167;Caminhonete;FIAT/FIORINO 1.4 FLEX;Condutor;Lesões Leves;31;Masculino
3735;573410;1273425;SP;1021168;Automóvel;I/FORD FOCUS GH 2LFCFLEX;Condutor;Ileso;44;Masculino
3778;573430;1273421;SP;1021165;Motoneta;YAMAHA/NMAX 160;Condutor;Lesões Leves;37;Masculino
3795;573438;1273515;SP;1021237;Automóvel;FIAT/DOBLO ESSENCE 7L E;Condutor;Ileso;63;Masculino
3796;573438;1273516;SP;1021238;Motocicleta;HONDA/CG 160 START;Condutor;Lesões Leves;38;Masculino
3797;573439;1273489;SP;1021212;Motocicleta;HONDA/CG 150 TITAN ES;Condutor;Lesões Leves;38;Masculino
3798;573439;1273488;SP;1021213;Utilitário;I/LR DISCOVERY 4 SE;Condutor;Ileso;67;Masculino
3799;573439;1273487;SP;1021214;Automóvel;CHEVROLET/ONIX 10MT JOYE;Condutor;Ileso;43;Feminino
3820;573449;1273513;SP;1021232;Caminhão-trator;VW/19.360 CTC 4X2;Condutor;Ileso;52;Masculino
3825;573452;1273550;SP;1021262;Automóvel;VW/POLO MF;Condutor;Ileso;39;Masculino
3826;573452;1276444;SP;1021259;Bicicleta;Não Informado;Condutor;Lesões Graves;41;Masculino
3914;573497;1273690;SP;1021367;Motocicleta;HONDA/CG 160 FAN;Condutor;Lesões Leves;46;Masculino
3915;573497;1273689;SP;1021366;Caminhonete;FIAT/FIORINO HD WK E;Condutor;Ileso;47;Masculino
3956;573518;1273816;SP;1021469;Motocicleta;HONDA/CG 160 FAN;Condutor;Lesões Leves;23;Masculino
3957;573519;1274084;SP;1021641;Caminhão-trator;M.BENZ/AXOR 2544 S;Condutor;Lesões Leves;43;Masculino
4008;573559;1273847;SP;1021488;Automóvel;HONDA/CITY LX FLEX;Condutor;Ileso;55;Masculino
4009;573559;1273853;SP;1021491;Caminhão;VW/15.180;Condutor;Ileso;52;Masculino
4010;573559;1273846;SP;1021485;Caminhão-trator;SCANIA/G 420 A6X2;Condutor;Ileso;34;Masculino
4011;573559;1273848;SP;1021489;Caminhonete;MMC/TRITON SPORT GLS AT;Condutor;Lesões Leves;55;Masculino
4054;573579;1277297;SP;1023023;Automóvel;I/FIAT SIENA EL 1.0 FLEX;Condutor;Lesões Leves;63;Masculino
4078;573592;1273928;SP;1021516;Motocicleta;YAMAHA/YS150 FAZER SED;Condutor;Lesões Leves;27;Feminino
4195;573618;1273964;SP;1021525;Caminhão-trator;SCANIA/R124 GA4X2NZ 360;Condutor;Ileso;67;Masculino
4196;573618;1273965;SP;1021526;Motocicleta;YAMAHA/FAZER YS250;Condutor;Lesões Leves;48;Masculino
4204;573623;1274018;SP;1021583;Motocicleta;YAMAHA/YBR125I FACTOR ED;Condutor;Lesões Leves;42;Masculino
4205;573623;1274019;SP;1021584;Automóvel;TOYOTA/ETIOS SD X 15L AT;Condutor;Ileso;48;Masculino
4225;573632;1274017;SP;1021586;Motocicleta;HONDA/CG 160 FAN;Condutor;Lesões Leves;33;Masculino
4249;573644;1274070;SP;1021627;Motocicleta;KAWASAKI/NINJA 250R;Condutor;Lesões Graves;37;Masculino
4250;573644;1274071;SP;1021628;Caminhão;SCANIA/P360 B8X2;Condutor;Ileso;47;Masculino
4261;573651;1274097;SP;1021652;Motocicleta;YAMAHA/FAZER YS250;Condutor;Lesões Leves;38;Masculino
4274;573659;1274065;SP;1021621;Motoneta;HONDA/BIZ 125;Condutor;Lesões Leves;31;Masculino
4325;573674;1274158;SP;1021725;Caminhonete;FIAT/DUCATO CARGO;Condutor;Ileso;43;Masculino
4326;573674;1274159;SP;1021726;Automóvel;VW/GOL SERIE OURO 2000;Condutor;Lesões Leves;30;Masculino
4481;573696;1274155;SP;1021723;Caminhonete;CHEV/MONTANA T A PR;Condutor;Ileso;63;Masculino
4483;573696;1274156;SP;1021724;Caminhonete;CHEVROLET/MONTANA LS;Condutor;Ileso;21;Masculino
4485;573697;1274183;SP;1021748;Automóvel;FIAT/PALIO EX;Condutor;Lesões Leves;47;Masculino
4486;573697;1274182;SP;1021740;Caminhão-trator;VOLVO/FH 460 6X2T;Condutor;Ileso;26;Masculino
4487;573698;1274190;SP;1021752;Motocicleta;HONDA/CG 150 FAN ESI;Condutor;Lesões Leves;37;Masculino
4488;573698;1274189;SP;1021751;Automóvel;FIAT/UNO WAY 1.4;Condutor;Ileso;51;Masculino
4502;573706;1274195;SP;1021762;Caminhonete;HYUNDAI/HR HDB;Condutor;Ileso;54;Masculino
4503;573706;1274196;SP;1021763;Motocicleta;HONDA/CG 150 TITAN KS;Condutor;Lesões Leves;43;Masculino
4509;573711;1274198;SP;1021765;Motocicleta;JTA-SUZUKI/GSR150I;Condutor;Lesões Graves;35;Masculino
4510;573711;1274199;SP;1021766;Camioneta;VW/KOMBI S;Condutor;Não Informado;41;Não Informado
4538;573727;1274446;SP;1021896;Automóvel;VW/POLO SEDAN 1.6;Condutor;Ileso;61;Masculino
4539;573727;1274665;SP;1021906;Bicicleta;Não Informado;Condutor;Lesões Leves;33;Feminino
4545;573730;1274290;SP;1021829;Caminhão-trator;VOLVO/FH 440 6X2T;Condutor;Lesões Leves;64;Masculino
4546;573731;1274330;SP;1021841;Caminhão-trator;SCANIA/R 440 A6X2;Condutor;Ileso;42;Masculino
4547;573732;1274226;SP;1021793;Automóvel;FIAT/UNO WAY 1.0 E;Condutor;Ileso;63;Masculino
4625;573781;1274775;SP;1022125;Automóvel;HONDA/FIT LX FLEX;Condutor;Ileso;68;Masculino
4626;573781;1274777;SP;1022126;Motocicleta;HONDA/CG 160 FAN;Condutor;Lesões Leves;47;Masculino
4638;573788;1274458;SP;1021912;Caminhão-trator;VOLVO/FH 460 4X2T;Condutor;Lesões Leves;47;Masculino
4684;573812;1274629;SP;1022019;Motocicleta;HONDA/CG 160 TITAN;Condutor;Lesões Leves;34;Masculino
4685;573812;1276639;SP;1023452;Caminhão;Não Informado;Condutor;Não Informado;41;Não Informado
4700;573818;1274643;SP;1022028;Caminhonete;CHEVROLET/S10 LTZ FD2;Condutor;Ileso;64;Masculino
4701;573818;1274646;SP;1022029;Automóvel;CHEVROLET/ONIX 1.4AT LTZ;Condutor;Lesões Leves;60;Feminino
4727;573837;1274709;SP;1022074;Automóvel;FIAT/STILO FLEX;Condutor;Ileso;38;Masculino
4728;573837;1276098;SP;1023011;Motocicleta;HONDA/CG 125 FAN KS;Condutor;Lesões Leves;26;Masculino
4729;573837;1276101;SP;1023012;Motocicleta;YAMAHA/XTZ250 LANDER;Condutor;Ileso;33;Masculino
4741;573844;1274601;SP;1021994;Motocicleta;YAMAHA/YBR150 FACTOR ED;Condutor;Lesões Leves;21;Masculino
4792;573871;1274700;SP;1022063;Motocicleta;YAMAHA/FACTOR YBR125 K;Condutor;Ileso;20;Masculino
4800;573878;1274778;SP;1022127;Caminhonete;CHEVROLET/MONTANA LS2;Condutor;Lesões Leves;32;Masculino
4801;573878;1276638;SP;1023451;Automóvel;Não Informado;Condutor;Não Informado;41;Não Informado
4816;573887;1276625;SP;1023435;Caminhão-trator;Não Informado;Condutor;Não Informado;41;Não Informado
4817;573887;1276615;SP;1023426;Automóvel;VW/GOL 16V;Condutor;Ileso;65;Masculino
4824;573891;1274791;SP;1022138;Automóvel;FIAT/SIENA ATTRACTIV 1.4;Condutor;Ileso;57;Feminino
4825;573891;1274793;SP;1022139;Motocicleta;HONDA/CB250F TWISTER ABS;Condutor;Lesões Leves;21;Masculino
4845;573901;1276609;SP;1022120;Automóvel;HYUNDAI/HB20S 10M VISION;Condutor;Ileso;60;Masculino
4859;573908;1275130;SP;1022352;Caminhonete;IVECO/DAILY 30S13VAN;Condutor;Ileso;56;Masculino
4861;573908;1275329;SP;1022353;Automóvel;RENAULT/SANDERO EXP 16;Condutor;Ileso;63;Masculino
4957;573952;1277583;SP;1022324;Automóvel;Não Informado;Condutor;Não Informado;41;Não Informado
4976;573965;1274935;SP;1022241;Automóvel;GM/CORSA WIND;Condutor;Lesões Leves;25;Masculino
4979;573965;1274934;SP;1022242;Caminhonete;FIAT/STRADA HD WK CC E;Condutor;Ileso;42;Masculino
4980;573965;1274933;SP;1022240;Caminhonete;I/PEUGEOT EXPERT BUSINPK;Condutor;Ileso;60;Masculino
4987;573972;1275270;SP;1022447;Bicicleta;Não Informado;Condutor;Lesões Leves;48;Feminino
4988;573972;1275271;SP;1022448;Motocicleta;HONDA/CG 125 FAN KS;Condutor;Ileso;28;Masculino
4989;573973;1274998;SP;1022289;Caminhão;FORD/CARGO 2422 CNL;Condutor;Ileso;39;Masculino
4990;573973;1274999;SP;1022290;Caminhonete;FIAT/TORO FREEDOM AT;Condutor;Lesões Leves;38;Masculino
4999;573984;1274981;SP;1022278;Automóvel;FIAT/ARGO DRIVE 1.0;Condutor;Lesões Graves;39;Feminino
5005;573991;1275021;SP;1022297;Automóvel;TOYOTA/COROLLA XEI 20;Condutor;Ileso;74;Masculino
5007;573991;1275022;SP;1022298;Motoneta;HONDA/BIZ 110I;Condutor;Lesões Leves;54;Feminino
5019;574000;1275062;SP;1022302;Caminhão-trator;SCANIA/P 360 A4X2;Condutor;Ileso;33;Masculino
5020;574000;1275058;SP;1022301;Automóvel;VW/GOLF;Condutor;Lesões Leves;57;Masculino
5065;574025;1275155;SP;1022366;Motocicleta;HONDA/CG 150 TITAN ESD;Condutor;Lesões Leves;22;Masculino
5066;574025;1275151;SP;1022365;Automóvel;CITROEN/C3 GLX 14 FLEX;Condutor;Ileso;31;Feminino
5147;574062;1275261;SP;1022440;Motocicleta;HONDA/XRE 300;Condutor;Ileso;23;Masculino
5166;574070;1275273;SP;1022452;Motocicleta;HONDA/CG 125 FAN ES;Condutor;Lesões Leves;27;Masculino
